prot_gene,uniprot,ensembl
TLR4,O00206,ENSG00000136869
IRS1,P35568,ENSG00000169047
DPP4,P27487,ENSG00000197635
FOXO1,Q12778,ENSG00000150907
FOXO3,O43524,ENSG00000118689
GLP1R,P43220,ENSG00000112164
GSK3B,P49841,ENSG00000082701
MTOR,P42345,ENSG00000198793
NFKB1,P19838,ENSG00000109320
NFKB2,Q00653,ENSG00000077150
MAPK14,Q16539,ENSG00000112062
MAPK11,Q15759,ENSG00000185386
MAPK12,P53778,ENSG00000188130
MAPK13,O15264,ENSG00000156711
AKT1,P31749,ENSG00000142208
AKT2,P31751,ENSG00000105221
AKT3,Q9Y243,ENSG00000117020
GCG,P01275,ENSG00000115263
